Professor,University,Conference,Homepage,Resolved Homepage,Selected Pages,Pages Parsed,Members Discovered,Current Members,Former Members,Failure Category,Navigation Confidence,Pipeline Status
Marios Kogias,University of Kentucky,SOSP; ASPLOS; NSDI,https://marioskogias.github.io/,https://marioskogias.github.io/,https://www.mystenlabs.com/,1,0,0,0,page_classifier_rejection,0.708,page_rejected
Christina Delimitrou,Massachusetts Institute of Technology,ASPLOS; SIGCOMM; SOSP,https://people.csail.mit.edu/delimitrou/,http://csl.stanford.edu/~christos/,http://csl.stanford.edu/~christos/students.html; http://platformlab.stanford.edu,2,7,7,0,,1.0,success
Steven Swanson,"University of California, San Diego",ATC; ASPLOS; SOSP,,,,0,0,0,0,no_homepage,,skipped
Dong Li 0001,"University of California, Merced",ATC; EuroSys; FAST,,,,0,0,0,0,no_homepage,,skipped
Josep Torrellas,University of Illinois Urbana-Champaign,ASPLOS; NSDI; OSDI,http://www.cs.uiuc.edu/directory/directory.php?name=torrellas,http://www.cs.uiuc.edu/directory/directory.php?name=torrellas,,0,0,0,0,homepage_resolution_failure,,skipped
Nam Sung Kim,University of Illinois Urbana-Champaign,NSDI; ATC; EuroSys,https://csl.illinois.edu/directory/faculty/nskim,https://csl.illinois.edu/directory/faculty/nskim,https://csl.illinois.edu/research/groups/applied-research-and-technology-group; https://csl.illinois.edu/research/centers/national-center-professional-research-ethics/people; https://csl.illinois.edu/,3,2,2,0,,1.0,success
Zheng Wang 0075,"University of California, San Diego",ATC; OSDI,https://zhengwang.info/,https://zhengwang.info/,,0,0,0,0,navigation_failure,,skipped
Thomas E. Anderson,University of Washington,NSDI; SIGCOMM; FAST,http://www.cs.washington.edu/homes/tom/,http://www.cs.washington.edu/homes/tom/,https://www.cs.washington.edu/who-we-are/lab/; https://www.cs.washington.edu/people/,2,1,1,0,,1.0,success
Silvery Fu,"University of California, Berkeley",SIGCOMM; NSDI; SOSP,https://silvery.im/,https://silvery.im/,,0,0,0,0,navigation_failure,,skipped
Hari Balakrishnan,Massachusetts Institute of Technology,SIGCOMM; EuroSys,http://nms.csail.mit.edu/~hari/,http://nms.csail.mit.edu/~hari/,,0,0,0,0,homepage_resolution_failure,,skipped
Matei Zaharia,Stanford University,NSDI; SOSP; OSDI,https://people.csail.mit.edu/matei/,https://people.csail.mit.edu/matei/,,0,0,0,0,navigation_failure,,skipped
Jian Huang 0006,University of Illinois Urbana-Champaign,SOSP; ASPLOS; OSDI,http://jianh.web.engr.illinois.edu/,https://platformxlab.github.io,,0,0,0,0,navigation_failure,,skipped
Jennifer Rexford,Princeton University,SIGCOMM; NSDI,http://www.cs.princeton.edu/~jrex/,http://www.cs.princeton.edu/~jrex/,,0,0,0,0,navigation_failure,,skipped
Michael M. Swift,University of Wisconsin-Madison,ATC; SIGCOMM; FAST,http://www.cs.wisc.edu/~swift/,http://www.cs.wisc.edu/~swift/,http://www.cs.wisc.edu/multifacet/,1,0,0,0,page_classifier_rejection,0.556,page_rejected
Zhuohan Li 0001,"University of California, Berkeley",OSDI; SOSP; SIGCOMM,,,,0,0,0,0,no_homepage,,skipped
Jingrong Chen 0002,Duke University,NSDI; SIGCOMM,https://scholars.duke.edu/person/jingrong.chen,https://scholars.duke.edu/person/jingrong.chen,,0,0,0,0,homepage_resolution_failure,,skipped
Lili Qiu,The University of Texas at Austin,NSDI; OSDI; SOSP,,,,0,0,0,0,no_homepage,,skipped
Dan Williams 0001,Virginia Polytechnic Institute and State University,ATC; EuroSys; OSDI,https://website.cs.vt.edu/people/faculty/dan-williams.html,https://website.cs.vt.edu/people/faculty/dan-williams.html,https://website.cs.vt.edu/people.html,1,0,0,0,page_classifier_rejection,0.817,page_rejected
Yiying Zhang 0005,"University of California, San Diego",NSDI; SOSP; ASPLOS,https://cseweb.ucsd.edu/~yiying/,https://cseweb.ucsd.edu/~yiying/,http://wuklab.io,1,0,0,0,page_classifier_rejection,0.708,page_rejected
Qinghao Hu 0004,Massachusetts Institute of Technology,NSDI; SOSP; ATC,,,,0,0,0,0,no_homepage,,skipped
George Varghese,"University of California, Los Angeles",NSDI; SIGCOMM,https://www.georgevargheseucla.com/,https://www.georgevargheseucla.com/,,0,0,0,0,navigation_failure,,skipped
Krishna Chintalapudi,University of Southern California,NSDI; SIGCOMM,http://enl.usc.edu/~krishna/,http://enl.usc.edu/~krishna/,,0,0,0,0,homepage_resolution_failure,,skipped
Song Han 0003,Massachusetts Institute of Technology,SOSP,https://songhan.mit.edu/,https://svg-project.github.io/v1/,,0,0,0,0,navigation_failure,,skipped
Cheng Tan 0005,Northeastern University,OSDI; SOSP; EuroSys,https://www.khoury.northeastern.edu/people/cheng-tan/,https://naizhengtan.github.io/,https://www.bytedance.com/en/; http://srg.khoury.northeastern.edu/,2,0,0,0,page_classifier_rejection,0.805,page_rejected
Roxana Geambasu,Columbia University,SOSP; EuroSys; OSDI,https://roxanageambasu.github.io/,https://roxanageambasu.github.io/,http://systems.cs.columbia.edu/,1,20,20,101,,0.805,success
Ahmad Hassan 0004,University of Southern California,SIGCOMM; NSDI,,,,0,0,0,0,no_homepage,,skipped
Kyle Jamieson,Princeton University,NSDI; SIGCOMM,http://www.cs.princeton.edu/~kylej/index.html,http://www.cs.princeton.edu/~kylej/index.html,,0,0,0,0,navigation_failure,,skipped
Michael I. Jordan,"University of California, Berkeley",OSDI,http://www.cs.berkeley.edu/~jordan/,http://www.cs.berkeley.edu/~jordan/,http://bair.berkeley.edu/,1,0,0,0,page_classifier_rejection,0.805,page_rejected
